,time,age_bracket,gender,mean
135,2021-04-01,65+,Female,396.0
136,2021-04-01,65+,Male,425.0
137,2021-07-01,15-24,Female,579.75
138,2021-07-01,15-24,Male,2546.0
139,2021-07-01,25-54,Female,786.5
140,2021-07-01,25-54,Male,2941.75
141,2021-07-01,55-64,Female,125.75
142,2021-07-01,55-64,Male,209.0
143,2021-07-01,65+,Female,281.6666666666667
144,2021-07-01,65+,Male,295.6666666666667
145,2021-10-01,15-24,Female,707.0
146,2021-10-01,15-24,Male,2481.75
147,2021-10-01,25-54,Female,677.0
148,2021-10-01,25-54,Male,2125.0
149,2021-10-01,55-64,Female,106.25
150,2021-10-01,55-64,Male,70.25
151,2021-10-01,65+,Female,85.0
152,2021-10-01,65+,Male,150.0
153,2022-01-01,15-24,Female,728.0
154,2022-01-01,15-24,Male,2341.75
155,2022-01-01,25-54,Female,855.5
156,2022-01-01,25-54,Male,2253.5
157,2022-01-01,55-64,Female,98.25
158,2022-01-01,55-64,Male,171.5
159,2022-01-01,65+,Female,85.0
160,2022-01-01,65+,Male,53.0
161,2022-04-01,15-24,Female,632.0
162,2022-04-01,15-24,Male,2225.75
163,2022-04-01,25-54,Female,738.75
164,2022-04-01,25-54,Male,1895.0
165,2022-04-01,55-64,Female,86.66666666666667
166,2022-04-01,55-64,Male,193.0
167,2022-04-01,65+,Female,58.5
168,2022-04-01,65+,Male,101.0
169,2022-07-01,15-24,Female,691.75
170,2022-07-01,15-24,Male,1829.5
171,2022-07-01,25-54,Female,693.75
172,2022-07-01,25-54,Male,1875.0
173,2022-07-01,55-64,Female,52.5
174,2022-07-01,55-64,Male,146.25
175,2022-07-01,65+,Female,102.5
176,2022-07-01,65+,Male,124.0
177,2022-10-01,15-24,Female,827.25
178,2022-10-01,15-24,Male,2070.75
179,2022-10-01,25-54,Female,681.5
180,2022-10-01,25-54,Male,1621.5
181,2022-10-01,25-54,Other,1761.0
182,2022-10-01,55-64,Female,88.75
183,2022-10-01,55-64,Male,98.5
184,2022-10-01,65+,Female,100.0
185,2022-10-01,65+,Male,103.0
186,2023-01-01,15-24,Female,653.25
187,2023-01-01,15-24,Male,1758.25
188,2023-01-01,25-54,Female,795.5
189,2023-01-01,25-54,Male,1430.25
190,2023-01-01,55-64,Female,146.0
191,2023-01-01,55-64,Male,185.0
192,2023-01-01,65+,Female,408.0
193,2023-01-01,65+,Male,408.0
194,2023-04-01,15-24,Female,583.5
195,2023-04-01,15-24,Male,2085.0
196,2023-04-01,25-54,Female,719.5
197,2023-04-01,25-54,Male,1670.5
198,2023-04-01,55-64,Female,119.25
199,2023-04-01,55-64,Male,137.75
200,2023-04-01,65+,Female,300.3333333333333
201,2023-04-01,65+,Male,309.6666666666667
202,2023-07-01,15-24,Female,857.5
203,2023-07-01,15-24,Male,1938.0
204,2023-07-01,25-54,Female,1003.75
205,2023-07-01,25-54,Male,1458.75
206,2023-07-01,55-64,Female,68.25
207,2023-07-01,55-64,Male,127.75
208,2023-07-01,65+,Female,85.0
209,2023-07-01,65+,Male,63.5
210,2023-10-01,15-24,Female,796.25
211,2023-10-01,15-24,Male,1826.5
212,2023-10-01,25-54,Female,857.5
213,2023-10-01,25-54,Male,1476.0
214,2023-10-01,55-64,Female,83.5
215,2023-10-01,55-64,Male,114.25
216,2023-10-01,65+,Female,85.0
217,2023-10-01,65+,Male,86.0
218,2024-01-01,15-24,Female,800.0
219,2024-01-01,15-24,Male,1829.5
220,2024-01-01,25-54,Female,732.0
221,2024-01-01,25-54,Male,1611.25
222,2024-01-01,55-64,Female,116.0
223,2024-01-01,55-64,Male,164.33333333333334
224,2024-01-01,65+,Female,85.0
225,2024-01-01,65+,Male,59.0
226,2024-04-01,15-24,Female,864.0
227,2024-04-01,15-24,Male,2021.25
228,2024-04-01,25-54,Female,995.0
229,2024-04-01,25-54,Male,1672.25
230,2024-04-01,55-64,Female,75.75
231,2024-04-01,55-64,Male,151.25
232,2024-04-01,65+,Female,62.0
233,2024-04-01,65+,Male,85.0
