Country Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
India,7.552,7.552,7.561,7.656,7.664,7.652,7.616,7.666,7.711,7.674,7.631,7.601,7.618,7.652,6.51,7.859,6.38,4.822,4.172
Pakistan,0.585,0.582,0.398,0.423,0.535,0.653,0.796,3.667,2.954,1.827,3.566,2.285,3.215,4.083,4.83,6.127,6.338,5.485,5.408
